# created 2023-10-23, epoch 2023-09-23
# station  n.points  offset[usec]  stdev[usec]
Ag    6    0.157   0.045
Bd   39  217.264   0.003
Ft    2   -7.761   0.002
Hb   62    1.154   0.055
Ht   20    2.522   0.004
Is   46    0.266   0.008
Ke   53    0.234   0.017
Kk   67    0.533   0.002
Ma   18    0.479   0.005
Mc   41    1.676   0.002
Nn    5    1.198   0.005
Ns    6    2.070   0.001
Nt    9    2.262   0.007
Ny  177    2.312   0.007
On    9    1.373   0.006
Sa   32    2.152   0.021
Sv   54  216.590   0.002
Ur    2    1.476   0.001
Wn   14    2.116   0.004
Wz   66    2.154   0.002
Yg  172    2.277   0.003
Ys    5   -1.749   0.005
Zc   34  216.642   0.001
